,rowWanted,modWanted,dni,dhi,ghi,temp_air,Gfront_mean,Grear_mean,Module_temp
2022-01-01_0830,3,25,0,76,78,3.7,61.21388833333333,18.752048333333335,5.479618072706145
2022-01-01_0930,3,25,0,82,85,3.3,66.32928666666666,18.817261666666667,5.219688477495629
2022-01-01_1030,3,25,5,108,112,3.9,102.84875,17.479893333333333,6.666411148205299
2022-01-01_1130,3,25,60,232,265,3.3,262.2808,32.575978333333325,9.735635002110552
2022-01-01_1230,3,25,0,118,121,2.5,112.92068333333333,17.56663,5.239960013562743
2022-01-01_1330,3,25,265,247,371,1.8,422.13104999999996,52.128455,11.44429476574797
2022-01-01_1430,3,25,278,150,256,1.1,370.5783166666667,41.080511666666666,8.523490029963781
2022-01-01_1530,3,25,195,119,172,0.7,283.1917833333333,25.82710833333333,6.944020405668206
2022-01-01_1630,3,25,510,63,124,0.3,67.98079000000001,9.315213333333332,1.842038817657316
2022-01-02_0830,3,25,891,32,272,-4.6,686.9558666666667,30.244896666666662,11.361089101063186
2022-01-02_0930,3,25,963,36,381,-3.9,673.7027833333334,35.447428333333335,10.990667712750488
2022-01-02_1030,3,25,1021,40,514,-2.9,627.3746833333333,45.44513499999999,11.976605767086541
2022-01-02_1130,3,25,1045,41,589,-1.9,596.4502333333332,50.33083333333333,13.463855987911916
2022-01-02_1230,3,25,1046,41,599,-1.1,620.6969,48.43495166666666,15.876391550328645
2022-01-02_1330,3,25,1026,39,544,0.0,685.6650333333332,40.395155,19.041366779766307
2022-01-02_1430,3,25,977,35,428,0.8,735.7163833333333,32.83651333333333,21.36194345928319
2022-01-02_1530,3,25,867,27,265,1.5,671.5438666666666,12.495376666666667,19.9231801429015
2022-01-02_1630,3,25,702,18,132,1.8,0.0,0.0,1.8
2022-01-03_0830,3,25,873,33,259,-4.6,676.1358166666666,30.190998333333333,15.468763721844116
2022-01-03_0930,3,25,957,36,379,-3.3,671.1700000000001,35.145865,17.878388002818006
2022-01-03_1030,3,25,1018,39,513,-1.4,626.5922666666668,44.51215333333333,17.79638577893664
2022-01-03_1130,3,25,1038,42,587,0.9,595.24675,50.69890166666667,19.75308336544498
2022-01-03_1230,3,25,1041,40,598,2.2,618.0688333333333,48.837455,21.40485002659552
2022-01-03_1330,3,25,1022,38,544,3.8,682.4473333333333,40.561065,24.342735185638702
2022-01-03_1430,3,25,977,33,431,5.0,733.9311500000001,32.393211666666666,26.920073299995103
2022-01-03_1530,3,25,877,25,269,5.9,683.6139833333333,12.230491666666666,25.804054549725112
2022-01-03_1630,3,25,734,15,142,5.8,0.0,0.0,5.8
2022-01-04_0730,3,25,459,36,85,0.0,313.2159,7.849319666666667,9.308043129735706
2022-01-04_0830,3,25,718,67,216,2.2,610.8940333333333,33.670611666666666,20.761479410557932
2022-01-04_0930,3,25,937,37,376,3.6,661.6343833333334,35.341323333333335,23.806112467637348
2022-01-04_1030,3,25,1005,38,509,5.2,620.5853166666667,44.048944999999996,23.957956041648153
2022-01-04_1130,3,25,1027,40,583,6.4,589.2135666666666,50.32312666666667,23.855916494770455
2022-01-04_1230,3,25,1029,39,594,8.0,611.4305333333334,48.041425,26.990764186956746
2022-01-04_1330,3,25,1011,37,541,10.7,674.7707833333334,39.77422,31.69614349480843
2022-01-04_1430,3,25,961,32,427,11.9,722.23075,31.899523333333335,34.0593144711969
2022-01-04_1530,3,25,855,24,266,12.3,667.2038,12.315711666666665,30.971513195362892
2022-01-04_1630,3,25,708,16,145,12.2,0.0,0.0,12.2
2022-01-05_0730,3,25,577,19,81,2.0,356.9229833333334,5.606600833333333,12.028218984578594
2022-01-05_0830,3,25,778,28,197,2.9,603.8591166666668,26.736765,20.817031442642183
2022-01-05_0930,3,25,925,33,369,5.0,650.6000166666668,33.45855,25.3730949930511
2022-01-05_1030,3,25,988,36,501,7.2,610.3135833333333,43.15031333333334,25.89179322797564
2022-01-05_1130,3,25,1018,36,578,8.4,582.2322666666666,49.24877666666667,26.103261718835757
2022-01-05_1230,3,25,1020,37,590,9.4,605.9981166666666,47.81942333333333,27.48576666136074
2022-01-05_1330,3,25,999,36,536,10.6,667.3689666666667,39.51107333333333,29.894028127997746
2022-01-05_1430,3,25,954,34,425,11.8,720.9335666666666,32.57190833333334,32.09410920481774
2022-01-05_1530,3,25,834,32,269,12.5,662.8979666666667,15.519891666666666,31.775790490229625
2022-01-05_1630,3,25,590,20,119,13.1,0.0,0.0,13.1
2022-01-06_0730,3,25,286,40,73,2.8,218.20695,8.116136333333333,9.273784326937154
2022-01-06_0830,3,25,499,72,181,4.1,458.7963666666667,30.311768333333333,17.996960142659788
2022-01-06_0930,3,25,656,101,341,6.2,552.9984166666667,40.910043333333334,22.849932750017203
2022-01-06_1030,3,25,774,103,470,8.3,559.5835,45.43132833333334,24.1668791356501
2022-01-06_1130,3,25,809,114,548,10.4,549.0455333333332,50.36799166666667,26.2247871612556
2022-01-06_1230,3,25,822,117,568,11.4,578.7409333333333,50.78172166666667,28.130580464476658
2022-01-06_1330,3,25,830,95,516,12.5,628.2189,45.99408833333333,30.537963822335332
2022-01-06_1430,3,25,795,75,407,13.4,659.6015166666667,39.08156,32.98723780441705
2022-01-06_1530,3,25,760,43,260,13.6,624.6330833333334,17.863086666666668,32.35240405092148
2022-01-06_1630,3,25,609,24,134,13.7,62.362375,5.4101238333333335,15.651639531356825
2022-01-07_0730,3,25,572,19,79,3.9,355.0156666666666,5.525752166666667,13.873222762998372
2022-01-07_0830,3,25,780,28,197,6.9,608.0300666666667,26.66162166666667,24.81288754795954
2022-01-07_0930,3,25,923,32,368,9.3,652.2428,33.575653333333335,28.144592511595505
2022-01-07_1030,3,25,985,33,499,10.1,609.4645833333333,43.22892666666666,26.016846031221096
2022-01-07_1130,3,25,1011,35,575,10.6,581.24665,49.081446666666665,26.278182176130223
2022-01-07_1230,3,25,1012,36,587,12.2,603.1531166666666,47.852455,28.936612908865865
2022-01-07_1330,3,25,990,35,535,13.5,662.5685833333333,39.04749666666666,31.900305281204076
2022-01-07_1430,3,25,949,31,427,14.8,715.3384333333333,31.48785,35.736909020365346
2022-01-07_1530,3,25,852,23,271,15.3,667.3307666666667,14.036303333333333,34.92127606430723
2022-01-07_1630,3,25,714,14,146,15.6,0.0,0.0,15.6
2022-01-08_0730,3,25,320,31,63,4.2,227.87955,6.791074666666667,11.142157318653865
2022-01-08_0830,3,25,700,52,208,7.0,582.6925833333333,31.058561666666666,24.674145377805907
2022-01-08_0930,3,25,345,206,319,10.3,454.66949999999997,51.39022333333334,24.67860322026493
2022-01-08_1030,3,25,189,289,381,11.8,402.80918333333335,49.148455,23.041564872572646
2022-01-08_1130,3,25,16,302,317,12.0,308.9730833333333,40.895475000000005,20.532035157139777
2022-01-08_1230,3,25,0,158,162,12.3,152.49351666666666,22.901043333333334,16.549214468381507
2022-01-08_1330,3,25,0,139,141,12.6,121.40934999999999,26.74192,16.48535649838312
2022-01-08_1430,3,25,15,186,194,13.1,178.96708333333333,42.610420000000005,19.22923144076794
2022-01-08_1530,3,25,296,118,188,13.5,367.36415,29.396883333333335,23.905297633741974
2022-01-08_1630,3,25,685,22,142,13.8,0.0,0.0,13.8
2022-01-09_0730,3,25,526,22,79,3.6,333.9803333333333,6.203675666666667,9.81186514359305
2022-01-09_0830,3,25,719,34,194,3.9,573.2050833333333,27.841685,14.87529975278491
2022-01-09_0930,3,25,913,42,374,4.8,661.2152833333334,36.10954,17.85744543716579
2022-01-09_1030,3,25,978,45,506,6.2,622.68745,45.560575,19.36277386813375
2022-01-09_1130,3,25,1007,45,584,7.7,593.5598,50.634365,20.79999767666203
2022-01-09_1230,3,25,1018,43,599,8.6,616.8976833333334,49.41829499999999,23.04948799110523
2022-01-09_1330,3,25,1005,41,550,9.3,680.5347166666667,41.72646833333334,28.62345023122856
2022-01-09_1430,3,25,958,37,440,9.5,731.5048000000002,34.036125,30.676236017272135
2022-01-09_1530,3,25,847,31,279,9.8,676.3253500000001,18.71454,29.285102850832185
2022-01-09_1630,3,25,686,21,142,9.7,0.0,0.0,9.7
2022-01-10_0730,3,25,593,18,82,-2.0,369.34700000000004,5.393079333333333,8.435556994712796
2022-01-10_0830,3,25,796,29,204,-0.8,625.2757666666666,27.811065000000003,17.265553957348274
2022-01-10_0930,3,25,949,36,382,1.0,680.5060333333333,35.41318,20.936527119386234
2022-01-10_1030,3,25,1007,40,517,3.0,637.5366833333333,45.48477333333334,23.06985766789619
2022-01-10_1130,3,25,1028,42,594,4.8,604.21535,51.42393833333333,23.807723040483175
2022-01-10_1230,3,25,1028,43,608,7.0,624.2544,49.55488166666666,26.27375610534872
2022-01-10_1330,3,25,1007,41,556,8.5,683.0949,41.836618333333334,28.823100008741854
2022-01-10_1430,3,25,953,39,444,9.4,731.4370833333334,34.76560333333333,31.316592887454156
2022-01-10_1530,3,25,859,31,286,10.0,687.1844666666666,19.684941666666667,30.492942046754266
2022-01-10_1630,3,25,701,20,148,10.2,0.0,0.0,10.2
2022-01-11_0730,3,25,587,19,83,-1.7,368.6136666666667,5.610980666666667,8.378965730298209
2022-01-11_0830,3,25,799,30,206,-0.4,631.1214666666667,27.95024,17.953468811658144
2022-01-11_0930,3,25,951,38,386,2.6,686.7964833333333,36.364761666666666,23.56526078160005
2022-01-11_1030,3,25,1021,38,525,4.4,646.0584833333332,45.696683333333326,23.03099255560184
2022-01-11_1130,3,25,1039,43,603,6.0,613.9247333333333,52.487506666666675,25.062169858522623
2022-01-11_1230,3,25,1035,52,625,8.1,639.7089000000001,51.89354333333333,27.61907835417832
2022-01-11_1330,3,25,1012,47,569,9.8,694.0891833333333,44.029645,29.812689919526065
2022-01-11_1430,3,25,823,94,452,10.8,707.1265166666667,42.60868,30.33214879222051
2022-01-11_1530,3,25,475,78,229,11.2,456.9853833333334,25.00295,24.894666226642
