,rowWanted,modWanted,dni,dhi,ghi,temp_air,Gfront_mean,Grear_mean,Module_temp
2022-01-11_1630,3,25,437,47,132,11.4,0.0,0.0,11.4
2022-01-12_0730,3,25,584,20,82,0.4,369.87811666666664,5.839638833333334,11.365997136202889
2022-01-12_0830,3,25,792,31,206,3.0,628.2391333333334,28.442056666666666,21.28689900955374
2022-01-12_0930,3,25,925,38,380,4.1,671.1368166666667,35.413783333333335,21.10525950380464
2022-01-12_1030,3,25,1003,40,519,5.7,640.0911833333332,45.824821666666665,20.866173346375128
2022-01-12_1130,3,25,1012,48,596,7.7,606.2839833333334,51.45128166666666,22.433042973645655
2022-01-12_1230,3,25,1003,57,614,10.0,628.7430333333334,51.371555,25.13574733644838
2022-01-12_1330,3,25,1007,46,566,12.1,691.2754666666667,42.93595166666667,28.021844015621905
2022-01-12_1430,3,25,956,37,449,13.4,734.3824,34.02788666666667,30.837414127164344
2022-01-12_1530,3,25,874,27,292,14.0,696.1939500000001,20.778973333333333,29.956018589810686
2022-01-12_1630,3,25,725,17,154,13.8,0.0,0.0,13.8
2022-01-13_0730,3,25,584,19,82,1.4,370.85996666666665,5.631650499999999,11.607855026094521
2022-01-13_0830,3,25,797,28,205,3.1,630.53175,27.515808333333336,22.306299235354174
2022-01-13_0930,3,25,926,38,381,4.8,674.2400500000001,35.72381,25.521569693204317
2022-01-13_1030,3,25,937,53,504,7.0,617.1104,45.989176666666665,25.714642665513153
2022-01-13_1130,3,25,954,71,592,9.2,599.8188,52.54629666666666,26.88764038087342
2022-01-13_1230,3,25,1012,49,614,11.8,627.5374499999999,50.58466166666666,29.349677871973874
2022-01-13_1330,3,25,1014,38,566,13.1,688.7006666666666,41.9182,32.134128953241024
2022-01-13_1430,3,25,967,36,456,14.0,742.08995,34.32167,35.62108661096873
2022-01-13_1530,3,25,870,28,296,14.5,696.5903666666666,22.279443333333333,34.788644557434566
2022-01-13_1630,3,25,610,23,152,14.7,0.0,0.0,14.7
2022-01-14_0730,3,25,571,16,86,4.7,361.81986666666666,5.036638833333334,14.646617275852593
2022-01-14_0830,3,25,771,27,206,7.1,611.4147166666667,26.772196666666666,25.8524423882994
2022-01-14_0930,3,25,923,35,384,10.1,671.0760833333334,34.69593333333333,28.982297321089106
2022-01-14_1030,3,25,990,36,519,12.5,633.9547333333334,44.859790000000004,28.10625976402736
2022-01-14_1130,3,25,1016,40,600,13.9,606.2749333333334,51.287905,27.976741223299946
2022-01-14_1230,3,25,1024,39,618,14.4,626.7483666666667,50.21000166666667,28.798841523929266
2022-01-14_1330,3,25,1022,35,573,14.9,692.1784333333333,41.50792333333334,29.819864366874484
2022-01-14_1430,3,25,980,31,464,15.0,747.4100833333334,32.86667833333333,31.071729074981118
2022-01-14_1530,3,25,884,25,305,15.0,705.0431833333334,22.703026666666666,29.98973248604947
2022-01-14_1630,3,25,753,19,178,14.6,0.0,0.0,14.6
2022-01-15_0730,3,25,576,17,87,-0.1,368.73159999999996,5.2990268333333335,10.890491397757787
2022-01-15_0830,3,25,787,27,210,0.5,625.1809166666667,27.178665,19.4126406421533
2022-01-15_0930,3,25,939,34,390,2.0,683.6427333333334,35.19694666666666,23.553905850410903
2022-01-15_1030,3,25,1005,38,529,3.5,647.92095,45.793225,23.476834714654082
2022-01-15_1130,3,25,1029,41,610,4.4,617.3085,52.34050333333333,22.55626067809449
2022-01-15_1230,3,25,1032,43,626,5.5,637.4227333333333,51.20034833333334,24.934991904834945
2022-01-15_1330,3,25,1018,40,578,7.0,696.83305,43.139235,27.06294287626615
2022-01-15_1430,3,25,975,36,469,7.5,751.6811,34.50272833333333,28.81588109154102
2022-01-15_1530,3,25,885,28,310,8.2,711.3419,24.810383333333334,29.257026003362835
2022-01-15_1630,3,25,744,20,176,8.6,0.0,0.0,8.6
2022-01-16_0730,3,25,460,27,87,-0.5,314.9832333333334,6.7718925,9.278819497645056
2022-01-16_0830,3,25,606,53,196,1.2,525.7924,29.71843666666667,17.633431435378178
2022-01-16_0930,3,25,763,72,366,3.3,611.3751833333333,39.59258833333333,20.832468555746317
2022-01-16_1030,3,25,933,65,525,5.4,635.8527,48.29093,22.30492613290934
2022-01-16_1130,3,25,1027,53,623,7.4,630.9972333333333,53.86177166666667,24.211509700770232
2022-01-16_1230,3,25,1036,53,643,8.9,652.7482833333333,52.95277833333334,27.530826023398642
2022-01-16_1330,3,25,1005,51,587,10.4,702.5424,45.07216166666666,30.535449656255363
2022-01-16_1430,3,25,1000,36,484,11.9,771.1067333333333,35.335701666666665,33.61985657209608
2022-01-16_1530,3,25,847,33,312,12.7,690.7205333333334,27.02981666666667,32.16043732093296
2022-01-16_1630,3,25,579,36,185,12.7,0.0,0.0,12.7
2022-01-17_0730,3,25,558,24,93,-1.4,372.46208333333334,7.1078795,9.457284231037113
2022-01-17_0830,3,25,730,34,211,0.8,594.8461833333333,28.356401666666663,18.98928613924459
2022-01-17_0930,3,25,933,48,405,3.4,701.1237999999998,39.48832,24.72735129552391
2022-01-17_1030,3,25,958,65,540,6.0,653.8831333333333,49.317660000000004,25.32221616346128
2022-01-17_1130,3,25,797,144,595,7.7,594.8543500000001,55.611351666666664,25.102626465766672
2022-01-17_1230,3,25,235,282,431,8.9,419.4838333333334,47.871921666666665,21.741778634153306
2022-01-17_1330,3,25,249,318,462,9.7,488.44814999999994,60.500045,24.583687540154845
2022-01-17_1430,3,25,279,287,402,11.0,514.5899,65.12806833333333,27.036039511382302
2022-01-17_1530,3,25,855,95,364,12.1,776.2108333333333,39.36402666666667,35.42884299012997
2022-01-17_1630,3,25,445,34,136,11.9,123.8368,8.959902500000002,15.598050019400208
2022-01-18_0730,3,25,550,20,84,1.5,359.0684166666667,5.978932333333334,12.372087099762183
2022-01-18_0830,3,25,769,33,208,4.5,624.85275,29.022836666666663,23.45659133833754
2022-01-18_0930,3,25,915,40,386,7.1,681.8582666666666,36.71059833333334,27.932122501619062
2022-01-18_1030,3,25,981,43,524,8.4,647.4672666666668,46.26178333333334,27.335076740756687
2022-01-18_1130,3,25,1007,44,604,10.0,617.0973833333334,52.20605166666667,28.2683886519918
2022-01-18_1230,3,25,1008,44,622,10.9,632.4955166666666,51.41983666666667,28.717406068145237
2022-01-18_1330,3,25,998,43,577,11.9,693.0825,43.95712666666667,31.750635686292036
2022-01-18_1430,3,25,707,109,441,12.7,649.0377833333332,43.979975,31.241068578275797
2022-01-18_1530,3,25,220,108,189,13.4,304.68016666666665,30.534399999999998,22.075292490513974
2022-01-18_1630,3,25,172,82,118,13.3,126.7799,13.25160166666667,16.948109543625236
2022-01-19_0730,3,25,567,16,87,4.8,367.75604999999996,5.173260833333334,15.185131702815548
2022-01-19_0830,3,25,770,27,210,5.7,620.2682,27.06525666666667,22.452873036878128
2022-01-19_0930,3,25,912,36,387,7.0,677.5604000000001,35.194918333333334,24.728398570411745
2022-01-19_1030,3,25,974,41,525,8.3,643.8678666666667,45.82701,25.0089643413148
2022-01-19_1130,3,25,993,55,613,9.1,622.7857166666668,53.24792166666666,26.25149520524857
2022-01-19_1230,3,25,511,157,458,9.4,459.21198333333336,44.01638,22.51013716948695
2022-01-19_1330,3,25,0,222,231,9.6,203.35323333333332,38.996986666666665,16.21485923623822
2022-01-19_1430,3,25,40,243,263,10.0,259.3929166666667,54.438224999999996,18.565904442228007
2022-01-19_1530,3,25,23,141,152,10.4,156.25206666666668,33.263415,15.85746301511434
2022-01-19_1630,3,25,0,77,81,10.5,82.72780333333334,11.15838,13.185536469240715
2022-01-20_0730,3,25,434,37,91,-1.2,319.40593333333334,8.365978166666666,6.586004731279409
2022-01-20_0830,3,25,562,62,188,-0.1,512.5727333333333,30.15580666666667,13.135196115140507
2022-01-20_0930,3,25,658,102,355,0.4,581.2994166666666,42.578791666666675,17.77341949759973
2022-01-20_1030,3,25,887,84,522,2.0,639.9067333333332,49.05901166666667,21.444662883468567
2022-01-20_1130,3,25,967,68,609,3.4,623.9626000000001,53.99638333333333,22.79245488259836
2022-01-20_1230,3,25,993,61,633,4.8,646.3993666666668,53.839753333333334,24.69579490631692
2022-01-20_1330,3,25,971,58,584,6.1,696.54075,46.81167166666667,26.389528238273506
2022-01-20_1430,3,25,928,53,475,6.8,746.9061166666667,39.575716666666665,27.841616079897825
2022-01-20_1530,3,25,841,41,318,7.2,703.8812666666666,32.292386666666665,27.56388457309992
2022-01-20_1630,3,25,679,27,162,7.6,0.0,0.0,7.6
2022-01-21_0730,3,25,304,28,77,-0.5,229.76685000000003,6.642471166666667,6.083397616569448
2022-01-21_0830,3,25,460,43,175,-0.2,412.93295,23.409799999999997,11.789618067541923
2022-01-21_0930,3,25,900,46,394,1.8,686.2319833333333,38.63396166666667,20.435479111530682
2022-01-21_1030,3,25,975,51,539,3.1,662.2264833333334,48.390096666666665,20.429381275896112
2022-01-21_1130,3,25,1004,63,632,5.0,643.57475,55.802285,22.51080249776681
2022-01-21_1230,3,25,979,66,638,6.7,646.5818999999999,54.481695,24.604591727027916
2022-01-21_1330,3,25,1013,42,597,8.6,708.3409999999999,44.99083833333333,27.337660375490074
2022-01-21_1430,3,25,977,38,488,9.4,766.8668500000001,36.05247333333333,30.179407188258313
2022-01-21_1530,3,25,895,30,329,10.5,734.1191833333332,30.35455833333333,30.817123373318008
2022-01-21_1630,3,25,746,20,173,10.7,206.86249999999998,4.615114,16.32035886931271
2022-01-22_0730,3,25,423,33,87,2.7,314.08501666666666,7.943135166666667,7.531769733348331
2022-01-22_0830,3,25,733,41,215,3.4,615.8797333333334,31.005975,13.524563841129517
2022-01-22_0930,3,25,903,51,397,4.5,696.8711333333333,40.15153,15.759745744008109
2022-01-22_1030,3,25,964,57,535,5.8,664.2721166666668,49.23478,16.635033392639745
2022-01-22_1130,3,25,992,59,619,7.2,636.2932666666666,55.00698,18.63042834949202
2022-01-22_1230,3,25,993,61,639,8.8,652.4818,54.11113333333333,22.28382732369731
2022-01-22_1330,3,25,875,82,563,10.3,665.34155,47.35185166666666,25.361631340081892
2022-01-22_1430,3,25,637,107,392,10.6,601.6816333333334,42.8441,25.321673340251408
2022-01-22_1530,3,25,722,60,304,11.2,641.7294333333333,34.08182333333333,27.572611383859844
2022-01-22_1630,3,25,272,46,103,10.2,121.58405,6.777209,13.392735995114114
2022-01-23_0730,3,25,513,25,85,-1.0,354.86458333333337,7.412559833333334,8.313733360818086
2022-01-23_0830,3,25,740,38,213,-0.2,620.0446166666666,30.386305,16.30193452180052
2022-01-23_0930,3,25,844,54,383,1.9,661.1913833333333,39.73677,19.565925895327382
2022-01-23_1030,3,25,965,52,535,4.8,662.96615,48.707103333333336,23.46406072363823
2022-01-23_1130,3,25,994,53,619,8.0,634.4930833333333,54.73757166666667,25.955880643555936
2022-01-23_1230,3,25,1005,51,641,10.4,652.7477666666666,53.95436,29.433557962999902
2022-01-23_1330,3,25,989,47,595,11.0,702.8222000000001,45.929218333333324,30.899277258444116
2022-01-23_1430,3,25,940,43,487,11.5,750.09735,37.57624333333334,32.9992581562416
2022-01-23_1530,3,25,836,36,326,11.8,700.0893666666666,31.570553333333333,31.637568889236793
2022-01-23_1630,3,25,689,24,181,11.9,0.0,0.0,11.9
2022-01-24_0730,3,25,591,17,92,2.1,398.74648333333334,5.741897166666668,12.294570900672321
2022-01-24_0830,3,25,808,26,225,3.5,659.4924333333333,27.971505,21.17391605456296
2022-01-24_0930,3,25,948,34,409,4.7,714.5357666666666,36.97323166666666,24.278359985499492
2022-01-24_1030,3,25,1009,38,549,6.0,679.39155,48.154136666666666,25.464832333816112
2022-01-24_1130,3,25,1036,40,634,7.4,649.7809333333333,55.09233166666667,25.64199289256791
2022-01-24_1230,3,25,1040,40,655,9.1,665.0803333333333,53.62126333333334,27.948383270741843
2022-01-24_1330,3,25,1022,40,607,10.5,720.25405,45.83356333333333,30.860014617285245
2022-01-24_1430,3,25,982,37,499,11.6,776.6285333333333,36.25219333333334,33.34789479469015
2022-01-24_1530,3,25,894,31,338,12.2,741.1551999999999,31.334939999999996,34.00196978168115
2022-01-24_1630,3,25,744,20,179,12.6,237.34335,3.1742161666666666,19.297801778841098
2022-01-25_0730,3,25,606,22,92,0.7,419.73676666666665,7.160442000000001,12.748309177428071
2022-01-25_0830,3,25,805,46,237,3.8,684.7993833333334,34.693913333333334,24.24286110000514
2022-01-25_0930,3,25,752,87,382,5.6,640.0987166666666,43.911845,24.90481286894796
2022-01-25_1030,3,25,830,118,540,7.8,654.5744,53.468986666666666,26.492664458871857
2022-01-25_1130,3,25,521,202,506,8.6,510.05944999999997,50.946740000000005,23.21536876640529
2022-01-25_1230,3,25,589,168,526,10.2,525.1904833333334,50.30773833333333,24.897754628911063
2022-01-25_1330,3,25,247,163,307,11.0,341.73911666666663,37.33937833333333,21.277993304581596
2022-01-25_1430,3,25,936,73,519,12.7,790.4181666666667,43.919403333333335,35.021953394102404
2022-01-25_1530,3,25,914,29,348,13.9,757.2345,31.29682833333333,35.27952909479298
2022-01-25_1630,3,25,750,20,181,14.6,249.46438333333333,3.2474311666666664,21.406269272045623
2022-01-26_0730,3,25,24,62,67,-0.7,94.36610666666667,11.990965,1.476702240437324
2022-01-26_0830,3,25,38,118,126,0.0,172.16469999999998,30.422428333333333,4.875866908101
2022-01-26_0930,3,25,2,145,148,0.4,123.63498333333334,31.819671666666668,4.559049872111438
2022-01-26_1030,3,25,11,248,254,0.8,242.3045833333333,38.54651833333333,8.517092681915123
2022-01-26_1130,3,25,845,173,665,2.2,676.2517833333334,63.17194833333333,22.382296103997678
2022-01-26_1230,3,25,568,225,569,3.6,572.1115666666666,56.27698666666667,19.437665478075644
2022-01-26_1330,3,25,6,284,293,4.2,272.4110833333333,47.533235000000005,12.371116623365085
2022-01-26_1430,3,25,261,250,381,4.9,468.4051166666667,59.19454666666667,17.851201332676418
2022-01-26_1530,3,25,756,94,348,5.3,718.4740166666667,40.90539166666667,23.22079406941189
2022-01-26_1630,3,25,734,22,173,5.4,257.67238333333336,3.551280333333333,11.175872463194471
2022-01-27_0730,3,25,197,43,71,-3.2,186.40015,9.3068095,2.2865487425205893
2022-01-27_0830,3,25,652,38,207,-1.3,559.6625166666668,29.001736666666666,15.538253130945485
2022-01-27_0930,3,25,953,40,419,0.9,733.6877166666668,39.177755000000005,23.156148627996778
2022-01-27_1030,3,25,1007,44,562,2.6,695.4466333333335,49.99207166666666,23.922656399328957
2022-01-27_1130,3,25,1029,46,646,4.5,662.9214833333333,56.508675000000004,24.40072944932386
2022-01-27_1230,3,25,1038,44,668,6.0,678.6641333333332,55.760258333333326,24.881215905242716
2022-01-27_1330,3,25,1024,43,623,7.0,733.5763166666666,47.62918166666667,26.430963310432247
2022-01-27_1430,3,25,987,40,515,7.7,791.1809166666668,38.10875666666667,28.6011006979768
2022-01-27_1530,3,25,885,37,349,8.1,749.5849499999999,33.62697,29.054132481347395
2022-01-27_1630,3,25,738,29,189,8.5,0.0,0.0,8.5
2022-01-28_0730,3,25,597,22,94,-3.3,423.90495,7.5087401666666675,8.16551502075842
2022-01-28_0830,3,25,824,33,238,-1.8,690.6373666666666,31.123906666666667,18.98450488750394
2022-01-28_0930,3,25,964,40,427,-0.8,744.5876833333334,39.97914,21.491785993534
2022-01-28_1030,3,25,1022,45,573,1.0,709.4177833333333,51.63279833333333,22.479111414713365
2022-01-28_1130,3,25,1041,46,658,3.3,674.2665499999999,57.536393333333336,22.619927461146943
2022-01-28_1230,3,25,1052,45,680,4.8,692.3501999999999,57.012885,24.19338140526973
2022-01-28_1330,3,25,1037,43,633,6.0,745.3382666666666,48.25298666666667,26.812409729587007
2022-01-28_1430,3,25,1003,39,524,7.2,804.7129,38.38383666666667,29.31072091770415
2022-01-28_1530,3,25,932,32,364,8.1,782.8043166666666,33.15915833333334,29.216987479366257
2022-01-28_1630,3,25,777,20,186,8.2,290.7554,3.4000255,15.712489359638877
2022-01-29_0730,3,25,638,20,99,-2.5,454.9358166666667,7.2433285000000005,9.461112869309133
2022-01-29_0830,3,25,853,31,245,-1.3,713.7359166666666,31.530068333333332,18.6389230229436
2022-01-29_0930,3,25,982,38,434,0.4,758.9006333333334,39.621941666666665,23.08830878838084
2022-01-29_1030,3,25,1035,44,584,2.8,720.7043666666666,52.18264333333333,25.20686683833717
2022-01-29_1130,3,25,998,59,650,5.3,664.6061,57.541375,24.879657012647222
2022-01-29_1230,3,25,998,70,678,6.4,687.2653333333333,58.452603333333336,26.61872530692199
2022-01-29_1330,3,25,1054,51,656,7.8,769.0514333333333,51.04039,31.101152785333504
2022-01-29_1430,3,25,847,60,487,9.3,714.4913833333333,41.370606666666674,31.361189007887106
2022-01-29_1530,3,25,325,129,240,9.5,420.75879999999995,37.971693333333334,22.97930671761737
2022-01-29_1630,3,25,331,77,132,9.7,204.55718333333334,11.265993333333334,15.91504372151771
2022-01-30_0730,3,25,0,66,68,0.6,63.73657333333334,12.015581666666666,2.7379511642792314
2022-01-30_0830,3,25,8,109,115,0.6,97.498105,26.300673333333332,4.093969805533538
2022-01-30_0930,3,25,37,184,197,1.4,227.99065000000002,39.590581666666665,8.654956806509682
2022-01-30_1030,3,25,53,221,249,2.9,262.9897833333333,35.165545,11.258638578425535
2022-01-30_1130,3,25,27,309,325,5.3,323.1618833333333,43.00659666666667,15.428877374603832
2022-01-30_1230,3,25,1,218,220,6.5,214.18439999999998,30.665855,13.743296821393594
2022-01-30_1330,3,25,1,216,217,7.4,199.34706666666665,36.98872333333333,14.160189417631544
2022-01-30_1430,3,25,0,171,173,7.6,144.4099333333333,39.70304,12.831175826098082
2022-01-30_1530,3,25,0,109,112,7.9,95.22725833333334,25.531758333333332,11.174151346326985
2022-01-30_1630,3,25,10,70,75,7.7,80.319115,10.385248,10.06303580530348
2022-01-31_0730,3,25,646,20,101,0.1,466.39644999999996,7.206059333333334,13.377214354951926
2022-01-31_0830,3,25,864,30,253,1.0,726.5700333333333,31.461135,23.124500371385462
