,rowWanted,modWanted,dni,dhi,ghi,temp_air,Gfront_mean,Grear_mean,Module_temp
2022-01-01_0830,3,1,0,76,78,3.7,61.488996666666665,18.95324,5.490217987161762
2022-01-01_0930,3,1,0,82,85,3.3,66.38386833333334,18.895314999999997,5.222678826325929
2022-01-01_1030,3,1,5,108,112,3.9,102.97326666666666,17.889006666666667,6.678679548646973
2022-01-01_1130,3,1,60,232,265,3.3,262.74418333333335,42.22765666666666,9.956409458368483
2022-01-01_1230,3,1,0,118,121,2.5,112.8407,17.857758333333333,5.2443936158976
2022-01-01_1330,3,1,265,247,371,1.8,425.41633333333334,68.77122666666668,11.849541333295495
2022-01-01_1430,3,1,278,150,256,1.1,377.1089833333333,51.01872,8.820475108268052
2022-01-01_1530,3,1,195,119,172,0.7,290.04895,32.58877333333333,7.219201843182888
2022-01-01_1630,3,1,510,63,124,0.3,67.97281000000001,13.934671333333334,1.934036822419693
2022-01-02_0830,3,1,891,32,272,-4.6,693.9159666666667,46.83976,11.885297785376697
2022-01-02_0930,3,1,963,36,381,-3.9,676.3436166666667,68.97859499999998,11.750203878212126
2022-01-02_1030,3,1,1021,40,514,-2.9,628.1077,95.84638666666666,13.107226968269027
2022-01-02_1130,3,1,1045,41,589,-1.9,596.5243666666667,109.76601666666667,14.877460402644907
2022-01-02_1230,3,1,1046,41,599,-1.1,621.27475,104.6386,17.31698199019489
2022-01-02_1330,3,1,1026,39,544,0.0,687.6749666666666,82.00684166666667,20.18537009973109
2022-01-02_1430,3,1,977,35,428,0.8,740.36725,57.21648666666667,22.138637546631607
2022-01-02_1530,3,1,867,27,265,1.5,679.6996833333334,33.46086666666667,20.70750221790742
2022-01-02_1630,3,1,702,18,132,1.8,0.0,0.0,1.8
2022-01-03_0830,3,1,873,33,259,-4.6,682.9359333333333,46.663983333333334,16.130019062153952
2022-01-03_0930,3,1,957,36,379,-3.3,674.0363333333333,68.57422333333334,18.966658988433366
2022-01-03_1030,3,1,1018,39,513,-1.4,627.34835,95.71938333333333,19.282753293992535
2022-01-03_1130,3,1,1038,42,587,0.9,595.19175,109.61633333333333,21.471089096176556
2022-01-03_1230,3,1,1041,40,598,2.2,618.3664,104.1687,23.006788715591778
2022-01-03_1330,3,1,1022,38,544,3.8,684.3908166666666,82.04393166666665,25.576601915520826
2022-01-03_1430,3,1,977,33,431,5.0,738.3930666666665,56.81701666666666,27.746325430202077
