,rowWanted,modWanted,dni,dhi,ghi,temp_air,Gfront_mean,Grear_mean
2022-01-01_0830,3,13,0,76,78,3.7,60.62773166666666,22.847805
2022-01-01_0930,3,13,0,82,85,3.3,64.310715,29.901534999999996
2022-01-01_1030,3,13,5,108,112,3.9,63.97056833333333,29.291071666666667
2022-01-01_1130,3,13,60,232,265,3.3,64.962525,24.688381666666665
2022-01-01_1230,3,13,0,118,121,2.5,68.30338666666667,31.824651666666668
2022-01-01_1330,3,13,265,247,371,1.8,68.11173833333334,31.637936666666665
2022-01-01_1430,3,13,278,150,256,1.1,101.9238,28.374670000000002
2022-01-01_1530,3,13,195,119,172,0.7,103.88515000000001,38.95926833333333
2022-01-01_1630,3,13,510,63,124,0.3,103.90325,37.713651666666664
2022-01-02_0830,3,13,891,32,272,-4.6,262.4544,64.744125
2022-01-02_0930,3,13,963,36,381,-3.9,262.6098333333333,102.87071666666668
2022-01-02_1030,3,13,1021,40,514,-2.9,262.53305,78.059335
2022-01-02_1130,3,13,1045,41,589,-1.9,112.69893333333334,30.291661666666663
2022-01-02_1230,3,13,1046,41,599,-1.1,113.52129999999998,40.755071666666666
2022-01-02_1330,3,13,1026,39,544,0.0,113.68661666666665,40.18485833333334
2022-01-02_1430,3,13,977,35,428,0.8,415.3959,73.84201833333333
2022-01-02_1530,3,13,867,27,265,1.5,433.1849500000001,138.42021666666665
2022-01-02_1630,3,13,702,18,132,1.8,424.5786333333333,94.82080500000001
2022-01-03_0830,3,13,873,33,259,-4.6,357.94068333333337,49.123756666666665
2022-01-03_0930,3,13,957,36,379,-3.3,384.48811666666666,91.39477833333333
2022-01-03_1030,3,13,1018,39,513,-1.4,367.66656666666665,64.31340833333334
2022-01-03_1130,3,13,1038,42,587,0.9,224.7651666666667,28.39118
2022-01-03_1230,3,13,1041,40,598,2.2,229.30831666666666,59.42954
2022-01-03_1330,3,13,1022,38,544,3.8,225.75179999999997,37.210966666666664
2022-01-03_1430,3,13,977,33,431,5.0,65.85006,17.427566666666667
2022-01-03_1530,3,13,877,25,269,5.9,65.85150999999999,27.476908333333334
2022-01-03_1630,3,13,734,15,142,5.8,65.9446,22.097700000000003
2022-01-04_0730,3,13,459,36,85,0.0,672.1226999999999,12.367791666666667
2022-01-04_0830,3,13,718,67,216,2.2,697.2739000000001,102.31131666666667
2022-01-04_0930,3,13,937,37,376,3.6,679.7430333333333,24.403106666666666
2022-01-04_1030,3,13,1005,38,509,5.2,666.4298666666666,50.34912666666666
2022-01-04_1130,3,13,1027,40,583,6.4,691.4474666666667,154.65296666666666
2022-01-04_1230,3,13,1029,39,594,8.0,677.0260499999999,67.290665
2022-01-04_1330,3,13,1011,37,541,10.7,627.0289166666666,87.09253999999999
2022-01-04_1430,3,13,961,32,427,11.9,634.8530333333333,231.95668333333333
2022-01-04_1530,3,13,855,24,266,12.3,632.5241666666666,100.93108000000001
2022-01-04_1630,3,13,708,16,145,12.2,596.9681666666667,114.48466666666667
2022-01-05_0730,3,13,577,19,81,2.0,597.2253333333333,273.6041333333333
2022-01-05_0830,3,13,778,28,197,2.9,597.2703833333333,122.36359999999999
2022-01-05_0930,3,13,925,33,369,5.0,622.2483666666667,102.69599666666667
2022-01-05_1030,3,13,988,36,501,7.2,625.0806,255.51906666666667
2022-01-05_1130,3,13,1018,36,578,8.4,624.5238999999999,113.4864
2022-01-05_1230,3,13,1020,37,590,9.4,681.7637666666667,64.87607833333334
