,Datetime,GHI,avg_FrontIrrad,avg_RearIrrad,avg_TotalIrrad
1,20/05/2013 06:00,151,31.05930667,23.18081,
2,20/05/2013 07:00,311,61.54233333,38.63806333,
3,20/05/2013 08:00,474,55.53124333,37.67420667,
4,20/05/2013 09:00,622,62.61932444,39.42758778,
5,20/05/2013 10:00,741,48.05152222,31.68140778,
6,20/05/2013 11:00,826,26.49179,19.43950444,
7,20/05/2013 12:00,867,4.062521222,3.776846889,
8,20/05/2013 13:00,861,0.429197567,0.430664456,
9,20/05/2013 14:00,809,6.107726556,5.992242556,
10,20/05/2013 15:00,715,9.520876444,9.368137333,
11,20/05/2013 16:00,589,17.38121444,16.29494111,
12,20/05/2013 17:00,439,20.44779333,18.58423333,
13,20/05/2013 18:00,273,26.13483889,21.61521333,
14,20/05/2013 19:00,104,13.39254,11.9263,
15,20/05/2013 20:00,14,5.581033778,4.987667444,
