x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
1.065319,6.523197e-17,1.624187,1.605134,a10.3.a0.test-module_East.6457,a10.3.a0.test-module_East.2310,755.6934,102.6728,0.1358655033039811
0.3621063,2.217262e-17,2.030187,2.011134,a10.3.a1.test-module_East.6457,a10.3.a1.test-module_East.2310,760.0076,104.4851,0.13747883905524227
-0.3411063,-2.088674e-17,2.436187,2.417134,a10.3.a2.test-module_East.6457,a10.3.a2.test-module_East.2310,764.1286,116.7879,0.15283781704046015
-1.044319,-6.394609e-17,2.842187,2.823134,a10.3.a3.test-module_East.6457,a10.3.a3.test-module_East.2310,768.5210000000001,127.4757,0.16587124376400414
