x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
-5.581382,-1.956959e-16,1.624187,1.605134,a10.3.a0.test-module_West.6457,a10.3.a0.test-module_West.2310,821.7276,107.8463,0.13124321095797323
-4.878169,-6.651785e-17,2.030187,2.011134,a10.3.a1.test-module_West.6457,a10.3.a1.test-module_West.2310,825.7662,96.5163,0.11688076251999353
-4.174957,6.266021e-17,2.436187,2.417134,a10.3.a2.test-module_West.6457,a10.3.a2.test-module_West.2310,830.1036,104.2011,0.12552767446415788
-3.471744,1.918383e-16,2.842187,2.823134,a10.3.a3.test-module_West.6457,a10.3.a3.test-module_West.2310,834.3665,118.6924,0.14225434236112985
